;battCharge;battDischarge;batteryCapacity;dateTime;id;loadCons;loadGrid;loadProd;newGrid;prices;prodUsage
148;7.311283333333329;0.641866666666667;13.5;2014-01-07 04:00:00;149;0.641866666666667;0.641066666666667;0.0001;0.0;0.00493;0.0001
149;6.787749999999996;0.523533333333333;13.5;2014-01-07 05:00:00;150;0.523533333333333;0.522716666666667;0.0;0.0;0.00493;0.0
150;6.014916666666664;0.77445;13.5;2014-01-07 06:00:00;151;0.77445;0.772866666666667;0.00161666666666667;0.0;0.00493;0.00161666666666667
151;5.38883333333333;0.658566666666667;13.5;2014-01-07 07:00:00;152;0.658566666666667;0.625183333333333;0.0324833333333333;0.0;0.0504;0.0324833333333333
152;5.5581833333333295;0.343316666666667;13.5;2014-01-07 08:00:00;153;0.343316666666667;-0.169316666666667;0.512666666666667;0.0;0.0504;0.512666666666667
153;7.071266666666662;0.355166666666667;13.5;2014-01-07 09:00:00;154;0.355166666666667;-1.513;1.86825;0.0;0.0504;1.86825
154;9.322449999999993;0.408;13.5;2014-01-07 10:00:00;155;0.408;-2.25108333333333;2.65918333333333;0.0;0.0504;2.65918333333333
155;12.545466666666655;0.287766666666667;13.5;2014-01-07 11:00:00;156;0.287766666666667;-3.22308333333333;3.51078333333333;0.0;0.0504;3.51078333333333
156;13.23475;0.26525;13.5;2014-01-07 12:00:00;157;0.26525;-3.78811666666667;4.05341666666667;0.0;0.0504;0.9545333333333446
157;13.253383333333334;0.246616666666667;13.5;2014-01-07 13:00:00;158;0.246616666666667;-4.04845;4.29496666666667;0.0;0.0504;0.26525
158;13.252616666666666;0.247383333333333;13.5;2014-01-07 14:00:00;159;0.247383333333333;-1.58418333333333;1.83158333333333;0.0;0.0504;0.24661666666666626
159;12.831333333333333;0.668666666666667;13.5;2014-01-07 15:00:00;160;0.668666666666667;-0.472516666666667;1.14121666666667;0.0;0.0504;0.2473833333333335
160;12.512966666666667;0.7075;13.5;2014-01-07 16:00:00;161;0.7075;0.318466666666667;0.389133333333333;0.0;0.0504;0.389133333333333
161;12.055366666666668;0.483883333333333;13.5;2014-01-07 17:00:00;162;0.483883333333333;0.446433333333333;0.0262833333333333;0.0;0.0504;0.0262833333333333
162;11.594266666666668;0.4611;13.5;2014-01-07 18:00:00;163;0.4611;0.460616666666667;0.0;0.0;0.0504;0.0
163;11.16605;0.428216666666667;13.5;2014-01-07 19:00:00;164;0.428216666666667;0.42775;0.0;0.0;0.0504;0.0
164;10.717550000000001;0.4485;13.5;2014-01-07 20:00:00;165;0.4485;0.44805;0.0;0.0;0.0504;0.0
165;10.2437;0.47385;13.5;2014-01-07 21:00:00;166;0.47385;0.47335;0.0;0.0;0.0504;0.0
166;9.587783333333334;0.655916666666667;13.5;2014-01-07 22:00:00;167;0.655916666666667;0.6553;0.0;0.0;0.0504;0.0
167;8.518933333333331;1.07076666666667;13.5;2014-01-07 23:00:00;168;1.07076666666667;1.0674;0.00191666666666667;0.0;0.00493;0.00191666666666667
168;7.347949999999994;1.17316666666667;13.5;2014-01-08 00:00:00;169;1.17316666666667;1.16928333333333;0.00218333333333333;0.0;0.00493;0.00218333333333333
169;6.87336666666666;0.474583333333333;13.5;2014-01-08 01:00:00;170;0.474583333333333;0.474583333333333;0.0;0.0;0.00493;0.0
170;6.592683333333327;0.280683333333333;13.5;2014-01-08 02:00:00;171;0.280683333333333;0.280683333333333;0.0;0.0;0.00493;0.0
171;6.303483333333327;0.2892;13.5;2014-01-08 03:00:00;172;0.2892;0.2892;0.0;0.0;0.00493;0.0
172;5.941333333333327;0.36215;13.5;2014-01-08 04:00:00;173;0.36215;0.361866666666667;0.0;0.0;0.00493;0.0
